   3,   15, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_015.png', cX= 714, cY=1271, Frame=   191
   4,   15, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_015.png', cX= 764, cY= 463, Frame=   191
   3,   16, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_016.png', cX= 748, cY=1271, Frame=   192
   4,   16, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_016.png', cX= 796, cY= 463, Frame=   192
   3,   17, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_017.png', cX= 781, cY=1272, Frame=   193
   4,   17, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_017.png', cX= 840, cY= 463, Frame=   193
   3,   18, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_018.png', cX= 816, cY=1271, Frame=   194
   4,   18, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_018.png', cX= 875, cY= 462, Frame=   194
   3,   19, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_019.png', cX= 849, cY=1271, Frame=   195
   4,   19, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_019.png', cX= 910, cY= 462, Frame=   195
   3,   20, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_020.png', cX= 883, cY=1271, Frame=   196
   4,   20, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_020.png', cX= 948, cY= 462, Frame=   196
   3,   21, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_021.png', cX= 917, cY=1270, Frame=   197
   4,   21, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_021.png', cX= 984, cY= 459, Frame=   197
   3,   22, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_022.png', cX= 950, cY=1270, Frame=   198
   4,   22, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_022.png', cX=1019, cY= 458, Frame=   198
   5,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_005\Image_001.png', cX= 219, cY= 351, Frame=   198
   2,   29, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_029.png', cX=1680, cY= 604, Frame=   199
   3,   23, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_023.png', cX= 983, cY=1269, Frame=   199
   4,   23, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_023.png', cX=1054, cY= 459, Frame=   199
   5,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_005\Image_002.png', cX= 250, cY= 349, Frame=   199
   3,   24, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_024.png', cX=1015, cY=1270, Frame=   200
   4,   24, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_024.png', cX=1089, cY= 459, Frame=   200
   5,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_005\Image_003.png', cX= 281, cY= 348, Frame=   200
   3,   25, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_025.png', cX=1049, cY=1271, Frame=   201
   4,   25, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_025.png', cX=1124, cY= 461, Frame=   201
   5,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_005\Image_004.png', cX= 312, cY= 347, Frame=   201
   3,   26, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_026.png', cX=1081, cY=1271, Frame=   202
   4,   26, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_026.png', cX=1164, cY= 461, Frame=   202
   5,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_005\Image_005.png', cX= 342, cY= 344, Frame=   202
   3,   27, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_027.png', cX=1115, cY=1270, Frame=   203
   4,   27, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_027.png', cX=1201, cY= 460, Frame=   203
